phenotype,mendelian_disease_group,complex_trait,n_ground_truth_positives,n_ground_truth_negatives,n_predicted_positives,n_predicted_negatives,n_true_positives,n_true_negatives,n_false_positives,n_false_negatives,sensitivity,specificity,precision,recall,n_genes_above_thresh,n_genes_total,fisher_p_value,odds_ratio,threshold,auc,auc_lower_ci,auc_upper_ci,auc_se
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,517,1845,2362,0,517,0,1845,0,1,0,0.218882303132938,1,2362,2362,1,1,0,0.654642952619081,0.625874191703262,0.683411713534901,0.0146782089582991
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,517,1845,2331,31,512,26,1819,5,0.990328820116054,0.0140921409214092,0.21964821964822,0.990328820116054,2331,2362,0.51871009681028,1.00448415234421,0.01,0.654642952619081,0.625874191703262,0.683411713534901,0.0146782089582991
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,517,1845,2228,134,498,115,1730,19,0.963249516441006,0.0623306233062331,0.223518850987433,0.963249516441006,2228,2362,0.0240892649155688,1.02728055366107,0.05,0.654642952619081,0.625874191703262,0.683411713534901,0.0146782089582991
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,517,1845,1925,437,452,372,1473,65,0.874274661508704,0.201626016260163,0.234805194805195,0.874274661508704,1925,2362,6.70304027363075e-05,1.09506907704247,0.2,0.654642952619081,0.625874191703262,0.683411713534901,0.0146782089582991
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,517,1845,1724,638,424,545,1300,93,0.820116054158607,0.295392953929539,0.245939675174014,0.820116054158607,1724,2362,9.07556420196982e-08,1.16393393840202,0.3,0.654642952619081,0.625874191703262,0.683411713534901,0.0146782089582991
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,517,1845,1501,861,391,735,1110,126,0.756286266924565,0.398373983739837,0.260493004663558,0.756286266924565,1501,2362,4.41471469688319e-11,1.25707041664488,0.4,0.654642952619081,0.625874191703262,0.683411713534901,0.0146782089582991
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,517,1845,1267,1095,346,924,921,171,0.669245647969052,0.500813008130081,0.273086029992107,0.669245647969052,1267,2362,6.50664431731035e-12,1.34067124918882,0.5,0.654642952619081,0.625874191703262,0.683411713534901,0.0146782089582991
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,517,1845,1043,1319,313,1115,730,204,0.60541586073501,0.604336043360434,0.300095877277085,0.60541586073501,1043,2362,3.47352561762617e-17,1.53012638774807,0.6,0.654642952619081,0.625874191703262,0.683411713534901,0.0146782089582991
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,517,1845,804,1558,261,1302,543,256,0.504835589941973,0.705691056910569,0.324626865671642,0.504835589941973,804,2362,2.26099326559414e-18,1.71532534704041,0.7,0.654642952619081,0.625874191703262,0.683411713534901,0.0146782089582991
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,517,1845,561,1801,222,1506,339,295,0.429400386847195,0.816260162601626,0.39572192513369,0.429400386847195,561,2362,1.91186870888194e-28,2.3370021054073,0.8,0.654642952619081,0.625874191703262,0.683411713534901,0.0146782089582991
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,517,1845,315,2047,160,1690,155,357,0.309477756286267,0.915989159891599,0.507936507936508,0.309477756286267,315,2362,1.25927200203321e-34,3.68378361514944,0.9,0.654642952619081,0.625874191703262,0.683411713534901,0.0146782089582991
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,517,1845,172,2190,120,1793,52,397,0.2321083172147,0.971815718157182,0.697674418604651,0.2321083172147,172,2362,6.63388085867457e-45,8.23538163963696,0.95,0.654642952619081,0.625874191703262,0.683411713534901,0.0146782089582991
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,517,1845,58,2304,54,1841,4,463,0.104448742746615,0.997831978319783,0.931034482758621,0.104448742746615,58,2362,4.33550489623898e-32,48.1769825918762,0.99,0.654642952619081,0.625874191703262,0.683411713534901,0.0146782089582991
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,517,1845,0,2362,0,1845,0,517,0,1,,0,0,2362,1,,1,0.654642952619081,0.625874191703262,0.683411713534901,0.0146782089582991
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,517,1845,2362,0,517,0,1845,0,1,0,0.218882303132938,1,2362,2362,1,1,0,0.632311700293018,0.60226999165324,0.662353408932797,0.0153276840170246
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,517,1845,2319,43,507,33,1812,10,0.980657640232108,0.0178861788617886,0.21862871927555,0.980657640232108,2319,2362,0.852346526913539,0.998517299242958,0.01,0.632311700293018,0.60226999165324,0.662353408932797,0.0153276840170246
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,517,1845,2192,170,483,136,1709,34,0.934235976789168,0.0737127371273713,0.220346715328467,0.934235976789168,2192,2362,0.630137146296017,1.0085812622446,0.05,0.632311700293018,0.60226999165324,0.662353408932797,0.0153276840170246
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,517,1845,1822,540,429,452,1393,88,0.829787234042553,0.244986449864499,0.235455543358946,0.829787234042553,1822,2362,0.000294200527757274,1.09903621450719,0.2,0.632311700293018,0.60226999165324,0.662353408932797,0.0153276840170246
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,517,1845,1604,758,392,633,1212,125,0.758220502901354,0.343089430894309,0.244389027431421,0.758220502901354,1604,2362,1.18229038695829e-05,1.15422180515924,0.3,0.632311700293018,0.60226999165324,0.662353408932797,0.0153276840170246
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,517,1845,1378,984,350,817,1028,167,0.676982591876209,0.442818428184282,0.253991291727141,0.676982591876209,1378,2362,9.31877634505634e-07,1.21501253113969,0.4,0.632311700293018,0.60226999165324,0.662353408932797,0.0153276840170246
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,517,1845,1171,1191,311,985,860,206,0.601547388781431,0.533875338753388,0.265584970111016,0.601547388781431,1171,2362,5.41931216435995e-08,1.29052899104854,0.5,0.632311700293018,0.60226999165324,0.662353408932797,0.0153276840170246
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,517,1845,952,1410,276,1169,676,241,0.533849129593811,0.63360433604336,0.289915966386555,0.533849129593811,952,2362,1.21285500647752e-11,1.45702905932039,0.6,0.632311700293018,0.60226999165324,0.662353408932797,0.0153276840170246
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,517,1845,740,1622,247,1352,493,270,0.477756286266925,0.732791327913279,0.333783783783784,0.477756286266925,740,2362,6.21057685869484e-19,1.78795202467034,0.7,0.632311700293018,0.60226999165324,0.662353408932797,0.0153276840170246
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,517,1845,519,1843,210,1536,309,307,0.406189555125725,0.832520325203252,0.404624277456647,0.406189555125725,519,2362,3.18328838615134e-28,2.42530656701283,0.8,0.632311700293018,0.60226999165324,0.662353408932797,0.0153276840170246
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,517,1845,314,2048,161,1692,153,356,0.311411992263056,0.917073170731707,0.512738853503185,0.311411992263056,314,2362,1.2386339735607e-35,3.75526225964274,0.9,0.632311700293018,0.60226999165324,0.662353408932797,0.0153276840170246
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,517,1845,186,2176,126,1785,60,391,0.243713733075435,0.967479674796748,0.67741935483871,0.243713733075435,186,2362,4.65407599027479e-45,7.49419729206963,0.95,0.632311700293018,0.60226999165324,0.662353408932797,0.0153276840170246
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,517,1845,61,2301,54,1838,7,463,0.104448742746615,0.996205962059621,0.885245901639344,0.104448742746615,61,2362,2.30579439683302e-29,27.529704338215,0.99,0.632311700293018,0.60226999165324,0.662353408932797,0.0153276840170246
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,517,1845,0,2362,0,1845,0,517,0,1,,0,0,2362,1,,1,0.632311700293018,0.60226999165324,0.662353408932797,0.0153276840170246
PASS_Celiac,Immune_Dysregulation,Celiac Disease,517,1845,2362,0,517,0,1845,0,1,0,0.218882303132938,1,2362,2362,1,1,0,0.637529419781625,0.608610793236229,0.666448046327021,0.0147546724192396
PASS_Celiac,Immune_Dysregulation,Celiac Disease,517,1845,2333,29,511,23,1822,6,0.988394584139265,0.0124661246612466,0.219031290184312,0.988394584139265,2333,2362,1,1.00087157395002,0.01,0.637529419781625,0.608610793236229,0.666448046327021,0.0147546724192396
PASS_Celiac,Immune_Dysregulation,Celiac Disease,517,1845,2223,139,488,110,1735,29,0.943907156673114,0.0596205962059621,0.219523166891588,0.943907156673114,2223,2362,0.832861385254129,1.0037514144449,0.05,0.637529419781625,0.608610793236229,0.666448046327021,0.0147546724192396
PASS_Celiac,Immune_Dysregulation,Celiac Disease,517,1845,1864,498,445,426,1419,72,0.86073500967118,0.230894308943089,0.238733905579399,0.86073500967118,1864,2362,3.36221107136452e-06,1.11913748614752,0.2,0.637529419781625,0.608610793236229,0.666448046327021,0.0147546724192396
PASS_Celiac,Immune_Dysregulation,Celiac Disease,517,1845,1634,728,410,621,1224,107,0.793036750483559,0.336585365853659,0.250917992656059,0.793036750483559,1634,2362,9.67501886299621e-09,1.19538627830242,0.3,0.637529419781625,0.608610793236229,0.666448046327021,0.0147546724192396
PASS_Celiac,Immune_Dysregulation,Celiac Disease,517,1845,1427,935,370,788,1057,147,0.715667311411992,0.42710027100271,0.259285213735109,0.715667311411992,1427,2362,3.16624434277009e-09,1.24920169305121,0.4,0.637529419781625,0.608610793236229,0.666448046327021,0.0147546724192396
PASS_Celiac,Immune_Dysregulation,Celiac Disease,517,1845,1216,1146,337,966,879,180,0.65183752417795,0.523577235772358,0.277138157894737,0.65183752417795,1216,2362,1.73169505230437e-12,1.36819139033938,0.5,0.637529419781625,0.608610793236229,0.666448046327021,0.0147546724192396
PASS_Celiac,Immune_Dysregulation,Celiac Disease,517,1845,1014,1348,296,1127,718,221,0.572533849129594,0.610840108401084,0.291913214990138,0.572533849129594,1014,2362,1.5830332533476e-13,1.471204668028,0.6,0.637529419781625,0.608610793236229,0.666448046327021,0.0147546724192396
PASS_Celiac,Immune_Dysregulation,Celiac Disease,517,1845,807,1555,258,1296,549,259,0.499032882011605,0.702439024390244,0.319702602230483,0.499032882011605,807,2362,6.31983112074277e-17,1.67707771823572,0.7,0.637529419781625,0.608610793236229,0.666448046327021,0.0147546724192396
PASS_Celiac,Immune_Dysregulation,Celiac Disease,517,1845,568,1794,210,1487,358,307,0.406189555125725,0.805962059620596,0.369718309859155,0.406189555125725,568,2362,9.8804281389395e-22,2.09335119890213,0.8,0.637529419781625,0.608610793236229,0.666448046327021,0.0147546724192396
PASS_Celiac,Immune_Dysregulation,Celiac Disease,517,1845,315,2047,153,1683,162,364,0.295938104448743,0.91219512195122,0.485714285714286,0.295938104448743,315,2362,5.88157998116554e-30,3.37040618955513,0.9,0.637529419781625,0.608610793236229,0.666448046327021,0.0147546724192396
PASS_Celiac,Immune_Dysregulation,Celiac Disease,517,1845,192,2170,114,1767,78,403,0.220502901353965,0.957723577235772,0.59375,0.220502901353965,192,2362,2.96427788160088e-32,5.21574170510341,0.95,0.637529419781625,0.608610793236229,0.666448046327021,0.0147546724192396
PASS_Celiac,Immune_Dysregulation,Celiac Disease,517,1845,57,2305,45,1833,12,472,0.0870406189555126,0.99349593495935,0.789473684210526,0.0870406189555126,57,2362,2.11496450869527e-20,13.3824951644101,0.99,0.637529419781625,0.608610793236229,0.666448046327021,0.0147546724192396
PASS_Celiac,Immune_Dysregulation,Celiac Disease,517,1845,0,2362,0,1845,0,517,0,1,,0,0,2362,1,,1,0.637529419781625,0.608610793236229,0.666448046327021,0.0147546724192396
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,517,1845,2362,0,517,0,1845,0,1,0,0.218882303132938,1,2362,2362,1,1,0,0.637276763483302,0.607511674402313,0.667041852564292,0.0151865489956819
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,517,1845,2331,31,511,25,1820,6,0.988394584139265,0.013550135501355,0.219219219219219,0.988394584139265,2331,2362,0.8303850892968,1.0019714328225,0.01,0.637276763483302,0.607511674402313,0.667041852564292,0.0151865489956819
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,517,1845,2197,165,485,133,1712,32,0.938104448742747,0.0720867208672087,0.220755575785162,0.938104448742747,2197,2362,0.494280626495447,1.01098289014624,0.05,0.637276763483302,0.607511674402313,0.667041852564292,0.0151865489956819
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,517,1845,1827,535,422,440,1405,95,0.816247582205029,0.238482384823848,0.230979748221128,0.816247582205029,1827,2362,0.00884863781964187,1.07186960083152,0.2,0.637276763483302,0.607511674402313,0.667041852564292,0.0151865489956819
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,517,1845,1611,751,390,624,1221,127,0.754352030947776,0.338211382113821,0.242085661080075,0.754352030947776,1611,2362,5.9552198960726e-05,1.13986854799234,0.3,0.637276763483302,0.607511674402313,0.667041852564292,0.0151865489956819
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,517,1845,1376,986,358,827,1018,159,0.692456479690522,0.448238482384824,0.260174418604651,0.692456479690522,1376,2362,7.90606891611679e-09,1.25499234285758,0.4,0.637276763483302,0.607511674402313,0.667041852564292,0.0151865489956819
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,517,1845,1192,1170,332,985,860,185,0.642166344294004,0.533875338753388,0.278523489932886,0.642166344294004,1192,2362,1.27085409414987e-12,1.37767082002609,0.5,0.637276763483302,0.607511674402313,0.667041852564292,0.0151865489956819
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,517,1845,970,1392,289,1164,681,228,0.55899419729207,0.630894308943089,0.297938144329897,0.55899419729207,970,2362,1.56305127570172e-14,1.51445564464592,0.6,0.637276763483302,0.607511674402313,0.667041852564292,0.0151865489956819
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,517,1845,762,1600,254,1337,508,263,0.491295938104449,0.724661246612466,0.333333333333333,0.491295938104449,762,2362,1.60330544354776e-19,1.78433268858801,0.7,0.637276763483302,0.607511674402313,0.667041852564292,0.0151865489956819
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,517,1845,543,1819,213,1515,330,304,0.411992263056093,0.821138211382114,0.392265193370166,0.411992263056093,543,2362,2.2257389139061e-26,2.30341128890452,0.8,0.637276763483302,0.607511674402313,0.667041852564292,0.0151865489956819
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,517,1845,328,2034,168,1685,160,349,0.32495164410058,0.913279132791328,0.51219512195122,0.32495164410058,328,2362,2.42816250435497e-37,3.74709864603482,0.9,0.637276763483302,0.607511674402313,0.667041852564292,0.0151865489956819
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,517,1845,194,2168,121,1772,73,396,0.234042553191489,0.960433604336043,0.623711340206186,0.234042553191489,194,2362,1.72778249317877e-37,5.91518507723696,0.95,0.637276763483302,0.607511674402313,0.667041852564292,0.0151865489956819
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,517,1845,47,2315,39,1837,8,478,0.0754352030947776,0.995663956639566,0.829787234042553,0.0754352030947776,47,2362,3.05829947413281e-19,17.3972437137331,0.99,0.637276763483302,0.607511674402313,0.667041852564292,0.0151865489956819
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,517,1845,0,2362,0,1845,0,517,0,1,,0,0,2362,1,,1,0.637276763483302,0.607511674402313,0.667041852564292,0.0151865489956819
PASS_CD_deLange2017,Immune_Dysregulation,Crohns Disease,517,1845,2362,0,517,0,1845,0,1,0,0.218882303132938,1,2362,2362,1,1,0,0.666560781661975,0.637686639335685,0.695434923988266,0.0147319759720311
PASS_CD_deLange2017,Immune_Dysregulation,Crohns Disease,517,1845,2335,27,513,23,1822,4,0.992263056092843,0.0124661246612466,0.219700214132762,0.992263056092843,2335,2362,0.485853095614202,1.00478887952321,0.01,0.666560781661975,0.637686639335685,0.695434923988266,0.0147319759720311
PASS_CD_deLange2017,Immune_Dysregulation,Crohns Disease,517,1845,2231,131,496,110,1735,21,0.959381044487427,0.0596205962059621,0.222321828776334,0.959381044487427,2231,2362,0.103149646291755,1.0202063556653,0.05,0.666560781661975,0.637686639335685,0.695434923988266,0.0147319759720311
