phenotype,mendelian_disease_group,complex_trait,n_ground_truth_positives,n_ground_truth_negatives,n_predicted_positives,n_predicted_negatives,n_true_positives,n_true_negatives,n_false_positives,n_false_negatives,sensitivity,specificity,precision,recall,n_genes_above_thresh,n_genes_total,fisher_p_value,odds_ratio,threshold,auc,auc_lower_ci,auc_upper_ci,auc_se
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2405,0,527,0,1878,0,1,0,0.219126819126819,1,2405,2405,1,1,0,0.611936271983801,0.585039321606419,0.638833222361184,0.0137231860327752
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2393,12,527,12,1866,0,1,0.00638977635782748,0.220225658169662,1,2393,2405,0.0805435462711789,1.0064308681672,0.01,0.611936271983801,0.585039321606419,0.638833222361184,0.0137231860327752
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2345,60,523,56,1822,4,0.992409867172675,0.0298189563365282,0.223027718550107,0.992409867172675,2345,2405,0.00231424157244544,1.02291203652595,0.05,0.611936271983801,0.585039321606419,0.638833222361184,0.0137231860327752
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2158,247,501,221,1657,26,0.950664136622391,0.117678381256656,0.232159406858202,0.950664136622391,2158,2405,1.35751679429754e-06,1.07745760324493,0.2,0.611936271983801,0.585039321606419,0.638833222361184,0.0137231860327752
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2001,404,476,353,1525,51,0.903225806451613,0.187965921192758,0.237881059470265,0.903225806451613,2001,2405,2.38977754883121e-07,1.11230037017451,0.3,0.611936271983801,0.585039321606419,0.638833222361184,0.0137231860327752
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1810,595,441,509,1369,86,0.836812144212524,0.271033013844515,0.243646408839779,0.836812144212524,1810,2405,1.85336856607287e-07,1.1479424447269,0.4,0.611936271983801,0.585039321606419,0.638833222361184,0.0137231860327752
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1576,829,406,708,1170,121,0.770398481973435,0.376996805111821,0.25761421319797,0.770398481973435,1576,2405,1.47430919743187e-10,1.23658833260351,0.5,0.611936271983801,0.585039321606419,0.638833222361184,0.0137231860327752
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1299,1106,353,932,946,174,0.669829222011385,0.496272630457934,0.271747498075443,0.669829222011385,1299,2405,1.02419622750809e-11,1.32974553798878,0.6,0.611936271983801,0.585039321606419,0.638833222361184,0.0137231860327752
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1012,1393,289,1155,723,238,0.548387096774194,0.615015974440895,0.285573122529644,0.548387096774194,1012,2405,2.63685110750287e-11,1.4244411725338,0.7,0.611936271983801,0.585039321606419,0.638833222361184,0.0137231860327752
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,719,1686,215,1374,504,312,0.407969639468691,0.731629392971246,0.299026425591099,0.407969639468691,719,2405,1.40006894304276e-09,1.5201725851631,0.8,0.611936271983801,0.585039321606419,0.638833222361184,0.0137231860327752
