phenotype,mendelian_disease_group,complex_trait,n_ground_truth_positives,n_ground_truth_negatives,n_predicted_positives,n_predicted_negatives,n_true_positives,n_true_negatives,n_false_positives,n_false_negatives,sensitivity,specificity,precision,recall,n_genes_above_thresh,n_genes_total,fisher_p_value,odds_ratio,threshold,auc,auc_lower_ci,auc_upper_ci,auc_se
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2405,0,527,0,1878,0,1,0,0.219126819126819,1,2405,2405,1,1,0,0.651535910664379,0.624192350359551,0.678879470969207,0.0139510524277539
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2328,77,516,66,1812,11,0.979127134724858,0.0351437699680511,0.221649484536082,0.979127134724858,2328,2405,0.122517565737195,1.01479070585722,0.01,0.651535910664379,0.624192350359551,0.678879470969207,0.0139510524277539
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2328,77,516,66,1812,11,0.979127134724858,0.0351437699680511,0.221649484536082,0.979127134724858,2328,2405,0.122517565737195,1.01479070585722,0.05,0.651535910664379,0.624192350359551,0.678879470969207,0.0139510524277539
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2125,280,488,241,1637,39,0.925996204933586,0.128328008519702,0.229647058823529,0.925996204933586,2125,2405,0.000395889981696483,1.06232185269718,0.2,0.651535910664379,0.624192350359551,0.678879470969207,0.0139510524277539
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1922,483,457,413,1465,70,0.867172675521822,0.219914802981896,0.237773152965661,0.867172675521822,1922,2405,6.5307409713953e-06,1.11163841954265,0.3,0.651535910664379,0.624192350359551,0.678879470969207,0.0139510524277539
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1678,727,431,631,1247,96,0.817836812144213,0.335995740149095,0.256853396901073,0.817836812144213,1678,2405,2.302632121656e-12,1.23167404427172,0.4,0.651535910664379,0.624192350359551,0.678879470969207,0.0139510524277539
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1415,990,395,858,1020,132,0.749525616698292,0.456869009584665,0.279151943462898,0.749525616698292,1415,2405,4.01873447700508e-18,1.38000892956803,0.5,0.651535910664379,0.624192350359551,0.678879470969207,0.0139510524277539
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1178,1227,347,1047,831,180,0.658444022770398,0.557507987220447,0.294567062818336,0.658444022770398,1178,2405,1.4805650086096e-18,1.48803595037642,0.6,0.651535910664379,0.624192350359551,0.678879470969207,0.0139510524277539
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,933,1472,301,1246,632,226,0.571157495256167,0.663471778487753,0.322615219721329,0.571157495256167,933,2405,4.88674919650529e-22,1.69720534191627,0.7,0.651535910664379,0.624192350359551,0.678879470969207,0.0139510524277539
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,638,1767,225,1465,413,302,0.426944971537002,0.780085197018105,0.352664576802508,0.426944971537002,638,2405,5.03342498108022e-20,1.94141079066947,0.8,0.651535910664379,0.624192350359551,0.678879470969207,0.0139510524277539
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,339,2066,144,1683,195,383,0.273244781783681,0.896166134185304,0.424778761061947,0.273244781783681,339,2405,2.40858533757003e-20,2.63155743687053,0.9,0.651535910664379,0.624192350359551,0.678879470969207,0.0139510524277539
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,168,2237,80,1790,88,447,0.15180265654649,0.953141640042599,0.476190476190476,0.15180265654649,168,2405,1.84941162781821e-14,3.23960669311713,0.95,0.651535910664379,0.624192350359551,0.678879470969207,0.0139510524277539
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,38,2367,23,1863,15,504,0.0436432637571158,0.992012779552716,0.605263157894737,0.0436432637571158,38,2405,2.42424626935191e-07,5.46413662239089,0.99,0.651535910664379,0.624192350359551,0.678879470969207,0.0139510524277539
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,0,2405,0,1878,0,527,0,1,,0,0,2405,1,,1,0.651535910664379,0.624192350359551,0.678879470969207,0.0139510524277539
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,2405,0,527,0,1878,0,1,0,0.219126819126819,1,2405,2405,1,1,0,0.669569548936755,0.642784123594606,0.696354974278904,0.0136662844590149
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,2340,65,521,59,1819,6,0.988614800759013,0.0314164004259851,0.222649572649573,0.988614800759013,2340,2405,0.00947314355362493,1.0206809212894,0.01,0.669569548936755,0.642784123594606,0.696354974278904,0.0136662844590149
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,2340,65,521,59,1819,6,0.988614800759013,0.0314164004259851,0.222649572649573,0.988614800759013,2340,2405,0.00947314355362493,1.0206809212894,0.05,0.669569548936755,0.642784123594606,0.696354974278904,0.0136662844590149
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,2079,326,488,287,1591,39,0.925996204933586,0.152822151224707,0.234728234728235,0.925996204933586,2079,2405,1.17911911781783e-06,1.09303637515102,0.2,0.669569548936755,0.642784123594606,0.696354974278904,0.0136662844590149
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,1907,498,469,440,1438,58,0.889943074003795,0.234291799787007,0.245936025170425,0.889943074003795,1907,2405,8.01319217425558e-11,1.16224832613291,0.3,0.669569548936755,0.642784123594606,0.696354974278904,0.0136662844590149
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,1678,727,442,642,1236,85,0.838709677419355,0.34185303514377,0.263408820023838,0.838709677419355,1678,2405,1.17036563219205e-16,1.27435014093329,0.4,0.669569548936755,0.642784123594606,0.696354974278904,0.0136662844590149
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,1425,980,409,862,1016,118,0.776091081593928,0.458998935037274,0.287017543859649,0.776091081593928,1425,2405,2.89068919834069e-23,1.43454631026909,0.5,0.669569548936755,0.642784123594606,0.696354974278904,0.0136662844590149
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,1179,1226,365,1064,814,162,0.692599620493359,0.566560170394036,0.309584393553859,0.692599620493359,1179,2405,4.05749468796076e-26,1.59791411214561,0.6,0.669569548936755,0.642784123594606,0.696354974278904,0.0136662844590149
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,932,1473,296,1242,636,231,0.561669829222011,0.661341853035144,0.317596566523605,0.561669829222011,932,2405,4.31528546189884e-20,1.65851562779707,0.7,0.669569548936755,0.642784123594606,0.696354974278904,0.0136662844590149
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,653,1752,240,1465,413,287,0.455407969639469,0.780085197018105,0.367534456355283,0.455407969639469,653,2405,3.69376495773071e-25,2.0708381767141,0.8,0.669569548936755,0.642784123594606,0.696354974278904,0.0136662844590149
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,338,2067,153,1693,185,374,0.290322580645161,0.901490947816826,0.452662721893491,0.290322580645161,338,2405,1.78925777667174e-25,2.94716652136007,0.9,0.669569548936755,0.642784123594606,0.696354974278904,0.0136662844590149
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,180,2225,98,1796,82,429,0.18595825426945,0.956336528221512,0.544444444444444,0.18595825426945,180,2405,2.22716245670792e-23,4.25889757948813,0.95,0.669569548936755,0.642784123594606,0.696354974278904,0.0136662844590149
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,37,2368,21,1862,16,506,0.0398481973434535,0.991480298189563,0.567567567567568,0.0398481973434535,37,2405,3.60062873230057e-06,4.67718216318786,0.99,0.669569548936755,0.642784123594606,0.696354974278904,0.0136662844590149
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,0,2405,0,1878,0,527,0,1,,0,0,2405,1,,1,0.669569548936755,0.642784123594606,0.696354974278904,0.0136662844590149
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,2405,0,527,0,1878,0,1,0,0.219126819126819,1,2405,2405,1,1,0,0.657636207116053,0.631017518475707,0.684254895756398,0.0135812131499917
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,2323,82,518,73,1805,9,0.98292220113852,0.0388711395101172,0.222987516142919,0.98292220113852,2323,2405,0.0139017527617052,1.02267473337293,0.01,0.657636207116053,0.631017518475707,0.684254895756398,0.0135812131499917
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,2323,82,518,73,1805,9,0.98292220113852,0.0388711395101172,0.222987516142919,0.98292220113852,2323,2405,0.0139017527617052,1.02267473337293,0.05,0.657636207116053,0.631017518475707,0.684254895756398,0.0135812131499917
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,2121,284,495,252,1626,32,0.939278937381404,0.134185303514377,0.233380480905233,0.939278937381404,2121,2405,1.2416152256885e-06,1.08484984280583,0.2,0.657636207116053,0.631017518475707,0.684254895756398,0.0135812131499917
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,1919,486,467,426,1452,60,0.886148007590133,0.226837060702875,0.243355914538822,0.886148007590133,1919,2405,2.96956907326663e-09,1.14613358006492,0.3,0.657636207116053,0.631017518475707,0.684254895756398,0.0135812131499917
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,1720,685,443,601,1277,84,0.840607210626186,0.320021299254526,0.257558139534884,0.840607210626186,1720,2405,7.18420215820323e-14,1.2362257960501,0.4,0.657636207116053,0.631017518475707,0.684254895756398,0.0135812131499917
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,1489,916,410,799,1079,117,0.777988614800759,0.425452609158679,0.275352585627938,0.777988614800759,1489,2405,3.28978197290078e-18,1.35408954457444,0.5,0.657636207116053,0.631017518475707,0.684254895756398,0.0135812131499917
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,1246,1159,370,1002,876,157,0.702087286527514,0.533546325878594,0.296950240770466,0.702087286527514,1246,2405,4.57409264963978e-22,1.50515973070625,0.6,0.657636207116053,0.631017518475707,0.684254895756398,0.0135812131499917
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,977,1428,314,1215,663,213,0.595825426944972,0.646964856230032,0.321392016376663,0.595825426944972,977,2405,2.9109521428786e-23,1.68772270256811,0.7,0.657636207116053,0.631017518475707,0.684254895756398,0.0135812131499917
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,682,1723,238,1434,444,289,0.451612903225806,0.763578274760383,0.348973607038123,0.451612903225806,682,2405,7.96938680995421e-21,1.91020052310375,0.8,0.657636207116053,0.631017518475707,0.684254895756398,0.0135812131499917
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,350,2055,142,1670,208,385,0.269449715370019,0.889243876464324,0.405714285714286,0.269449715370019,350,2405,9.80104384015311e-18,2.43282002627354,0.9,0.657636207116053,0.631017518475707,0.684254895756398,0.0135812131499917
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,184,2221,82,1776,102,445,0.155597722960152,0.945686900958466,0.445652173913043,0.155597722960152,184,2405,8.00539638883051e-13,2.86482866391338,0.95,0.657636207116053,0.631017518475707,0.684254895756398,0.0135812131499917
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,37,2368,16,1857,21,511,0.0303605313092979,0.988817891373802,0.432432432432432,0.0303605313092979,37,2405,0.00393961164285384,2.71509894280293,0.99,0.657636207116053,0.631017518475707,0.684254895756398,0.0135812131499917
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,0,2405,0,1878,0,527,0,1,,0,0,2405,1,,1,0.657636207116053,0.631017518475707,0.684254895756398,0.0135812131499917
