phenotype,mendelian_disease_group,complex_trait,n_ground_truth_positives,n_ground_truth_negatives,n_predicted_positives,n_predicted_negatives,n_true_positives,n_true_negatives,n_false_positives,n_false_negatives,sensitivity,specificity,precision,recall,n_genes_above_thresh,n_genes_total,fisher_p_value,odds_ratio,threshold,auc,auc_lower_ci,auc_upper_ci,auc_se
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2405,0,527,0,1878,0,1,0,0.219126819126819,1,2405,2405,1,1,0,0.605698560986798,0.579128367706778,0.632268754266819,0.0135564701645554
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2393,12,527,12,1866,0,1,0.00638977635782748,0.220225658169662,1,2393,2405,0.0805435462711789,1.0064308681672,0.01,0.605698560986798,0.579128367706778,0.632268754266819,0.0135564701645554
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2356,49,524,46,1832,3,0.994307400379507,0.0244941427050053,0.222410865874363,0.994307400379507,2356,2405,0.00463052045275272,1.01927363423183,0.05,0.605698560986798,0.579128367706778,0.632268754266819,0.0135564701645554
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2157,248,499,220,1658,28,0.946869070208729,0.117145899893504,0.231339823829393,0.946869070208729,2157,2405,7.18907033117309e-06,1.0725091157129,0.2,0.605698560986798,0.579128367706778,0.632268754266819,0.0135564701645554
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1986,419,477,369,1509,50,0.905123339658444,0.196485623003195,0.240181268882175,0.905123339658444,1986,2405,1.26415266474707e-08,1.12645568712959,0.3,0.605698560986798,0.579128367706778,0.632268754266819,0.0135564701645554
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1794,611,443,527,1351,84,0.840607210626186,0.280617678381257,0.246934225195095,0.840607210626186,1794,2405,6.45272771979424e-09,1.16851246599258,0.4,0.605698560986798,0.579128367706778,0.632268754266819,0.0135564701645554
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1563,842,407,722,1156,120,0.772296015180266,0.384451544195953,0.260396673064619,0.772296015180266,1563,2405,1.02339251378486e-11,1.25464698659908,0.5,0.605698560986798,0.579128367706778,0.632268754266819,0.0135564701645554
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1284,1121,348,942,936,179,0.66034155597723,0.501597444089457,0.271028037383178,0.66034155597723,1284,2405,4.13163660700069e-11,1.32491607064662,0.6,0.605698560986798,0.579128367706778,0.632268754266819,0.0135564701645554
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1000,1405,276,1154,724,251,0.523719165085389,0.614483493077742,0.276,0.523719165085389,1000,2405,1.92184334437209e-08,1.3584870055668,0.7,0.605698560986798,0.579128367706778,0.632268754266819,0.0135564701645554
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,695,1710,202,1385,493,325,0.383301707779886,0.737486687965921,0.290647482014389,0.383301707779886,695,2405,1.21032936311333e-07,1.46012293551851,0.8,0.605698560986798,0.579128367706778,0.632268754266819,0.0135564701645554
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,343,2062,107,1642,236,420,0.20303605313093,0.87433439829606,0.311953352769679,0.20303605313093,343,2405,1.55194659604191e-05,1.61568520245714,0.9,0.605698560986798,0.579128367706778,0.632268754266819,0.0135564701645554
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,171,2234,57,1764,114,470,0.108159392789374,0.939297124600639,0.333333333333333,0.108159392789374,171,2405,0.00035313904273843,1.78178368121442,0.95,0.605698560986798,0.579128367706778,0.632268754266819,0.0135564701645554
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,37,2368,13,1854,24,514,0.0246679316888046,0.987220447284345,0.351351351351351,0.0246679316888046,37,2405,0.0685753319102684,1.93026565464896,0.99,0.605698560986798,0.579128367706778,0.632268754266819,0.0135564701645554
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,0,2405,0,1878,0,527,0,1,,0,0,2405,1,,1,0.605698560986798,0.579128367706778,0.632268754266819,0.0135564701645554
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,2405,0,527,0,1878,0,1,0,0.219126819126819,1,2405,2405,1,1,0,0.605410091481713,0.578860538291982,0.631959644671443,0.0135459393127373
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,2393,12,527,12,1866,0,1,0.00638977635782748,0.220225658169662,1,2393,2405,0.0805435462711789,1.0064308681672,0.01,0.605410091481713,0.578860538291982,0.631959644671443,0.0135459393127373
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,2359,46,525,44,1834,2,0.996204933586338,0.0234291799787007,0.222551928783383,0.996204933586338,2359,2405,0.00179404188917817,1.02010516100062,0.05,0.605410091481713,0.578860538291982,0.631959644671443,0.0135459393127373
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,2158,247,499,219,1659,28,0.946869070208729,0.116613418530351,0.231232622798888,0.946869070208729,2158,2405,9.86418820797606e-06,1.07186263643881,0.2,0.605410091481713,0.578860538291982,0.631959644671443,0.0135459393127373
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,1988,417,481,371,1507,46,0.912713472485768,0.197550585729499,0.241951710261569,0.912713472485768,1988,2405,4.50930840623662e-10,1.1374093572185,0.3,0.605410091481713,0.578860538291982,0.631959644671443,0.0135459393127373
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,1794,611,443,527,1351,84,0.840607210626186,0.280617678381257,0.246934225195095,0.840607210626186,1794,2405,6.45272771979424e-09,1.16851246599258,0.4,0.605410091481713,0.578860538291982,0.631959644671443,0.0135459393127373
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,1561,844,408,725,1153,119,0.774193548387097,0.38604898828541,0.261370916079436,0.774193548387097,1561,2405,3.48280066918696e-12,1.26100215426797,0.5,0.605410091481713,0.578860538291982,0.631959644671443,0.0135459393127373
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,1287,1118,349,940,938,178,0.662239089184061,0.500532481363152,0.271173271173271,0.662239089184061,1287,2405,2.95249725350951e-11,1.32589020201244,0.6,0.605410091481713,0.578860538291982,0.631959644671443,0.0135459393127373
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,1001,1404,276,1153,725,251,0.523719165085389,0.61395101171459,0.275724275724276,0.523719165085389,1001,2405,1.95748254554563e-08,1.3566132303867,0.7,0.605410091481713,0.578860538291982,0.631959644671443,0.0135459393127373
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,697,1708,202,1383,495,325,0.383301707779886,0.736421725239617,0.289813486370158,0.383301707779886,697,2405,1.66051408097424e-07,1.45422344891036,0.8,0.605410091481713,0.578860538291982,0.631959644671443,0.0135459393127373
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,345,2060,107,1640,238,420,0.20303605313093,0.873269435569755,0.310144927536232,0.20303605313093,345,2405,2.22879583458183e-05,1.60210801588187,0.9,0.605410091481713,0.578860538291982,0.631959644671443,0.0135459393127373
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,174,2231,57,1761,117,470,0.108159392789374,0.937699680511182,0.327586206896552,0.108159392789374,174,2405,0.000575485949352366,1.73609692015764,0.95,0.605410091481713,0.578860538291982,0.631959644671443,0.0135459393127373
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,37,2368,13,1854,24,514,0.0246679316888046,0.987220447284345,0.351351351351351,0.0246679316888046,37,2405,0.0685753319102684,1.93026565464896,0.99,0.605410091481713,0.578860538291982,0.631959644671443,0.0135459393127373
PASS_Rheumatoid_Arthritis,Immune_Dysregulation,Rheumatoid Arthritis,527,1878,0,2405,0,1878,0,527,0,1,,0,0,2405,1,,1,0.605410091481713,0.578860538291982,0.631959644671443,0.0135459393127373
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,2405,0,527,0,1878,0,1,0,0.219126819126819,1,2405,2405,1,1,0,0.606196688713618,0.579602658666261,0.632790718760975,0.0135686320040202
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,2393,12,527,12,1866,0,1,0.00638977635782748,0.220225658169662,1,2393,2405,0.0805435462711789,1.0064308681672,0.01,0.606196688713618,0.579602658666261,0.632790718760975,0.0135686320040202
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,2357,48,525,46,1832,2,0.996204933586338,0.0244941427050053,0.22274077216801,0.996204933586338,2357,2405,0.00118531833758432,1.02121881292311,0.05,0.606196688713618,0.579602658666261,0.632790718760975,0.0135686320040202
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,2155,250,499,222,1656,28,0.946869070208729,0.118210862619808,0.231554524361949,0.946869070208729,2155,2405,5.27836032675535e-06,1.07380441657729,0.2,0.606196688713618,0.579602658666261,0.632790718760975,0.0135686320040202
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,1985,420,479,372,1506,48,0.908918406072106,0.198083067092652,0.241309823677582,0.908918406072106,1985,2405,1.78685148201292e-09,1.13343211593852,0.3,0.606196688713618,0.579602658666261,0.632790718760975,0.0135686320040202
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,1794,611,443,527,1351,84,0.840607210626186,0.280617678381257,0.246934225195095,0.840607210626186,1794,2405,6.45272771979424e-09,1.16851246599258,0.4,0.606196688713618,0.579602658666261,0.632790718760975,0.0135686320040202
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,1562,843,406,722,1156,121,0.770398481973435,0.384451544195953,0.259923175416133,0.770398481973435,1562,2405,2.10617188746324e-11,1.25156431587034,0.5,0.606196688713618,0.579602658666261,0.632790718760975,0.0135686320040202
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,1288,1117,347,937,941,180,0.658444022770398,0.498935037273695,0.269409937888199,0.658444022770398,1288,2405,1.16511117561986e-10,1.31408913364804,0.6,0.606196688713618,0.579602658666261,0.632790718760975,0.0135686320040202
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,998,1407,276,1156,722,251,0.523719165085389,0.615548455804047,0.276553106212425,0.523719165085389,998,2405,1.42338177715063e-08,1.36225012746587,0.7,0.606196688713618,0.579602658666261,0.632790718760975,0.0135686320040202
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,692,1713,203,1389,489,324,0.385199240986717,0.73961661341853,0.293352601156069,0.385199240986717,692,2405,4.61824765952717e-08,1.4793541402312,0.8,0.606196688713618,0.579602658666261,0.632790718760975,0.0135686320040202
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,346,2059,108,1640,238,419,0.204933586337761,0.873269435569755,0.312138728323699,0.204933586337761,346,2405,1.23452464238387e-05,1.61708098799292,0.9,0.606196688713618,0.579602658666261,0.632790718760975,0.0135686320040202
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,174,2231,57,1761,117,470,0.108159392789374,0.937699680511182,0.327586206896552,0.108159392789374,174,2405,0.000575485949352366,1.73609692015764,0.95,0.606196688713618,0.579602658666261,0.632790718760975,0.0135686320040202
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,37,2368,13,1854,24,514,0.0246679316888046,0.987220447284345,0.351351351351351,0.0246679316888046,37,2405,0.0685753319102684,1.93026565464896,0.99,0.606196688713618,0.579602658666261,0.632790718760975,0.0135686320040202
PASS_Celiac,Immune_Dysregulation,Celiac Disease,527,1878,0,2405,0,1878,0,527,0,1,,0,0,2405,1,,1,0.606196688713618,0.579602658666261,0.632790718760975,0.0135686320040202
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,527,1878,2405,0,527,0,1878,0,1,0,0.219126819126819,1,2405,2405,1,1,0,0.605049378300223,0.578503387755366,0.631595368845079,0.0135441216033802
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,527,1878,2393,12,527,12,1866,0,1,0.00638977635782748,0.220225658169662,1,2393,2405,0.0805435462711789,1.0064308681672,0.01,0.605049378300223,0.578503387755366,0.631595368845079,0.0135441216033802
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,527,1878,2338,67,523,63,1815,4,0.992409867172675,0.0335463258785943,0.223695466210436,0.992409867172675,2338,2405,0.00049732862836061,1.02685715181834,0.05,0.605049378300223,0.578503387755366,0.631595368845079,0.0135441216033802
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,527,1878,2156,249,499,221,1657,28,0.946869070208729,0.117678381256656,0.231447124304267,0.946869070208729,2156,2405,7.24247506465506e-06,1.07315637528787,0.2,0.605049378300223,0.578503387755366,0.631595368845079,0.0135441216033802
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,527,1878,1985,420,476,369,1509,51,0.903225806451613,0.196485623003195,0.239798488664987,0.903225806451613,1985,2405,2.7589426423388e-08,1.12409414480857,0.3,0.605049378300223,0.578503387755366,0.631595368845079,0.0135441216033802
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,527,1878,1793,612,445,530,1348,82,0.844402277039848,0.282215122470714,0.248187395426659,0.844402277039848,1793,2405,1.15239211351537e-09,1.17640020495611,0.4,0.605049378300223,0.578503387755366,0.631595368845079,0.0135441216033802
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,527,1878,1565,840,406,719,1159,121,0.770398481973435,0.382854100106496,0.259424920127796,0.770398481973435,1565,2405,2.93904139451102e-11,1.2483247188491,0.5,0.605049378300223,0.578503387755366,0.631595368845079,0.0135441216033802
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,527,1878,1286,1119,347,939,939,180,0.658444022770398,0.5,0.269828926905132,0.658444022770398,1286,2405,1.11746112691569e-10,1.3168880455408,0.6,0.605049378300223,0.578503387755366,0.631595368845079,0.0135441216033802
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,527,1878,996,1409,274,1156,722,253,0.519924098671727,0.615548455804047,0.275100401606426,0.519924098671727,996,2405,3.38471465254818e-08,1.35237874973061,0.7,0.605049378300223,0.578503387755366,0.631595368845079,0.0135441216033802
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,527,1878,692,1713,201,1387,491,326,0.381404174573055,0.738551650692226,0.290462427745665,0.381404174573055,692,2405,1.55376875653319e-07,1.45881270844847,0.8,0.605049378300223,0.578503387755366,0.631595368845079,0.0135441216033802
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,527,1878,345,2060,107,1640,238,420,0.20303605313093,0.873269435569755,0.310144927536232,0.20303605313093,345,2405,2.22879583458183e-05,1.60210801588187,0.9,0.605049378300223,0.578503387755366,0.631595368845079,0.0135441216033802
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,527,1878,172,2233,58,1764,114,469,0.110056925996205,0.939297124600639,0.337209302325581,0.110056925996205,172,2405,0.000246610361513685,1.81304304404274,0.95,0.605049378300223,0.578503387755366,0.631595368845079,0.0135441216033802
PASS_Multiple_sclerosis,Immune_Dysregulation,Multiple Sclerosis,527,1878,34,2371,12,1856,22,515,0.0227703984819734,0.98828541001065,0.352941176470588,0.0227703984819734,34,2405,0.0624594677446174,1.94376401587028,0.99,0.605049378300223,0.578503387755366,0.631595368845079,0.0135441216033802
