phenotype,mendelian_disease_group,complex_trait,n_ground_truth_positives,n_ground_truth_negatives,n_predicted_positives,n_predicted_negatives,n_true_positives,n_true_negatives,n_false_positives,n_false_negatives,sensitivity,specificity,precision,recall,n_genes_above_thresh,n_genes_total,fisher_p_value,odds_ratio,threshold,auc,auc_lower_ci,auc_upper_ci,auc_se
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2405,0,527,0,1878,0,1,0,0.219126819126819,1,2405,2405,1,1,0,0.623234071532354,0.596630239523685,0.649837903541023,0.0135736330965857
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2395,10,527,10,1868,0,1,0.0053248136315229,0.220041753653445,1,2395,2405,0.130646348285204,1.00535331905782,0.01,0.623234071532354,0.596630239523685,0.649837903541023,0.0135736330965857
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2331,74,517,64,1814,10,0.981024667931689,0.0340788072417465,0.221793221793222,0.981024667931689,2331,2405,0.0862708793262085,1.01563634309576,0.05,0.623234071532354,0.596630239523685,0.649837903541023,0.0135736330965857
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2086,319,484,276,1602,43,0.918406072106262,0.146964856230032,0.2320230105465,0.918406072106262,2086,2405,5.92371858851148e-05,1.07663333546539,0.2,0.623234071532354,0.596630239523685,0.649837903541023,0.0135736330965857
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1915,490,465,428,1450,62,0.882352941176471,0.22790202342918,0.242819843342037,0.882352941176471,1915,2405,7.31665577610708e-09,1.14279918864097,0.3,0.623234071532354,0.596630239523685,0.649837903541023,0.0135736330965857
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1716,689,435,597,1281,92,0.825426944971537,0.317891373801917,0.253496503496504,0.825426944971537,1716,2405,3.30611004475783e-11,1.21011069684352,0.4,0.623234071532354,0.596630239523685,0.649837903541023,0.0135736330965857
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1495,910,405,788,1090,122,0.768500948766604,0.419595314164004,0.270903010033445,0.768500948766604,1495,2405,9.33313718998217e-16,1.32407778145292,0.5,0.623234071532354,0.596630239523685,0.649837903541023,0.0135736330965857
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1239,1166,355,994,884,172,0.673624288425047,0.529286474973376,0.286521388216304,0.673624288425047,1239,2405,1.14587624494163e-16,1.43107060369032,0.6,0.623234071532354,0.596630239523685,0.649837903541023,0.0135736330965857
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,928,1477,281,1231,647,246,0.533206831119545,0.655484558040469,0.302801724137931,0.533206831119545,928,2405,9.46274015288325e-15,1.54770081737636,0.7,0.623234071532354,0.596630239523685,0.649837903541023,0.0135736330965857
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,607,1798,189,1460,418,338,0.358633776091082,0.777422790202343,0.311367380560132,0.358633776091082,607,2405,7.08456522473101e-10,1.6112780657872,0.8,0.623234071532354,0.596630239523685,0.649837903541023,0.0135736330965857
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,279,2126,97,1696,182,430,0.184060721062619,0.903088391906283,0.347670250896057,0.184060721062619,279,2405,1.32826582287647e-07,1.89926392393186,0.9,0.623234071532354,0.596630239523685,0.649837903541023,0.0135736330965857
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,137,2268,44,1785,93,483,0.0834914611005693,0.950479233226837,0.321167883211679,0.0834914611005693,137,2405,0.00402141969393782,1.68598885964375,0.95,0.623234071532354,0.596630239523685,0.649837903541023,0.0135736330965857
