phenotype,mendelian_disease_group,complex_trait,n_ground_truth_positives,n_ground_truth_negatives,n_predicted_positives,n_predicted_negatives,n_true_positives,n_true_negatives,n_false_positives,n_false_negatives,sensitivity,specificity,precision,recall,n_genes_above_thresh,n_genes_total,fisher_p_value,odds_ratio,threshold,auc,auc_lower_ci,auc_upper_ci,auc_se
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2405,0,527,0,1878,0,1,0,0.219126819126819,1,2405,2405,1,1,0,0.624765839552352,0.598198491198318,0.651333187906386,0.0135550186450333
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2395,10,527,10,1868,0,1,0.0053248136315229,0.220041753653445,1,2395,2405,0.130646348285204,1.00535331905782,0.01,0.624765839552352,0.598198491198318,0.651333187906386,0.0135550186450333
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2306,99,516,88,1790,11,0.979127134724858,0.0468583599574015,0.22376409366869,0.979127134724858,2306,2405,0.0061687253771373,1.02726299386217,0.05,0.624765839552352,0.598198491198318,0.651333187906386,0.0135550186450333
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2088,317,485,275,1603,42,0.920303605313093,0.14643237486688,0.23227969348659,0.920303605313093,2088,2405,4.09350522453534e-05,1.07818476031066,0.2,0.624765839552352,0.598198491198318,0.651333187906386,0.0135550186450333
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1929,476,467,416,1462,60,0.886148007590133,0.221512247071353,0.242094349403836,0.886148007590133,1929,2405,1.06881173719802e-08,1.13829408909321,0.3,0.624765839552352,0.598198491198318,0.651333187906386,0.0135550186450333
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1735,670,444,587,1291,83,0.842504743833017,0.312566560170394,0.255907780979827,0.842504743833017,1735,2405,3.94853708761274e-13,1.22558009985934,0.4,0.624765839552352,0.598198491198318,0.651333187906386,0.0135550186450333
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1513,892,406,771,1107,121,0.770398481973435,0.410543130990415,0.268341044282882,0.770398481973435,1513,2405,8.73207420480545e-15,1.30696327836144,0.5,0.624765839552352,0.598198491198318,0.651333187906386,0.0135550186450333
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1262,1143,356,972,906,171,0.675521821631879,0.517571884984026,0.282091917591125,0.675521821631879,1262,2405,2.93511326843724e-15,1.40025384219058,0.6,0.624765839552352,0.598198491198318,0.651333187906386,0.0135550186450333
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,969,1436,284,1193,685,243,0.538899430740038,0.635250266240682,0.293085655314758,0.538899430740038,969,2405,1.0655305760193e-12,1.47744982617488,0.7,0.624765839552352,0.598198491198318,0.651333187906386,0.0135550186450333
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,647,1758,204,1435,443,323,0.387096774193548,0.764110756123536,0.315301391035549,0.387096774193548,647,2405,1.89171152265909e-11,1.6410107041433,0.8,0.624765839552352,0.598198491198318,0.651333187906386,0.0135550186450333
