phenotype,mendelian_disease_group,complex_trait,n_ground_truth_positives,n_ground_truth_negatives,n_predicted_positives,n_predicted_negatives,n_true_positives,n_true_negatives,n_false_positives,n_false_negatives,sensitivity,specificity,precision,recall,n_genes_above_thresh,n_genes_total,fisher_p_value,odds_ratio,threshold,auc,auc_lower_ci,auc_upper_ci,auc_se
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2405,0,527,0,1878,0,1,0,0.219126819126819,1,2405,2405,1,1,0,0.605987535692418,0.579421905822851,0.632553165561985,0.0135541418511327
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2394,11,527,11,1867,0,1,0.00585729499467519,0.220133667502089,1,2394,2405,0.136149863785628,1.00589180503482,0.01,0.605987535692418,0.579421905822851,0.632553165561985,0.0135541418511327
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2357,48,524,45,1833,3,0.994307400379507,0.023961661341853,0.222316504030547,0.994307400379507,2357,2405,0.0071049385646437,1.01871756569161,0.05,0.605987535692418,0.579421905822851,0.632553165561985,0.0135541418511327
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,2156,249,499,221,1657,28,0.946869070208729,0.117678381256656,0.231447124304267,0.946869070208729,2156,2405,7.24247506465506e-06,1.07315637528787,0.2,0.605987535692418,0.579421905822851,0.632553165561985,0.0135541418511327
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1985,420,477,370,1508,50,0.905123339658444,0.197018104366347,0.240302267002519,0.905123339658444,1985,2405,1.26509965944504e-08,1.12720267365952,0.3,0.605987535692418,0.579421905822851,0.632553165561985,0.0135541418511327
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1794,611,443,527,1351,84,0.840607210626186,0.280617678381257,0.246934225195095,0.840607210626186,1794,2405,6.45272771979424e-09,1.16851246599258,0.4,0.605987535692418,0.579421905822851,0.632553165561985,0.0135541418511327
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1562,843,407,723,1155,120,0.772296015180266,0.384984025559105,0.26056338028169,0.772296015180266,1562,2405,1.01984121843373e-11,1.25573326104635,0.5,0.605987535692418,0.579421905822851,0.632553165561985,0.0135541418511327
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,1283,1122,347,942,936,180,0.658444022770398,0.501597444089457,0.270459859703819,0.658444022770398,1283,2405,5.97668028952096e-11,1.32110884055856,0.6,0.605987535692418,0.579421905822851,0.632553165561985,0.0135541418511327
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,999,1406,275,1154,724,252,0.521821631878558,0.614483493077742,0.275275275275275,0.521821631878558,999,2405,2.60915164988334e-08,1.3535649511988,0.7,0.605987535692418,0.579421905822851,0.632553165561985,0.0135541418511327
PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,Primary Biliary Cirrhosis,527,1878,694,1711,202,1386,492,325,0.383301707779886,0.738019169329074,0.291066282420749,0.383301707779886,694,2405,1.17856485262428e-07,1.46309066506225,0.8,0.605987535692418,0.579421905822851,0.632553165561985,0.0135541418511327
