gene_symbol,phenotype,mendelian_disease_group,ground_truth
ISG15,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TNFRSF4,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
GNB1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PIK3CD,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TARDBP,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MASP2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MTOR,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ALPL,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
C1QA,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
C1QC,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
C1QB,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SLC30A2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
FCN3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LCK,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
AK2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CSF3R,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ZMPSTE24,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CTPS1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TOE1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TAL1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
FOXE3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IL23R,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
BCL10,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
GFI1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ALG14,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NRAS,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TSHB,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NGF,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
VPS45,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ECM1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RFX5,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RORC,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
HAX1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
GBA,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RIT1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LAMTOR2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LMNA,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SEMA4A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NTRK1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ACKR1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
COPA,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
APOA2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MPZ,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
HSPA6,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
FCGR3A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
FCGR3B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
FCGR2B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD247,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SLC19A2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
F5,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
FASLG,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LAMC1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LAMC2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NCF2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CDC73,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CFH,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CFHR3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PTPRC,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SNRPE,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PPP1R15B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CNTN2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IL10,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD55,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CR2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CR1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LAMB3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TGFB2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TLR5,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
