chr,start,stop,gene_symbol,strand,mendelian_disease_group
1,1447522,1470067,ATAD3A,+,Arrythmia
1,2985741,3355185,PRDM16,+,Arrythmia
1,10270763,10441661,KIF1B,+,Arrythmia
1,11905766,11907840,NPPA,-,Arrythmia
1,17345224,17380665,SDHB,-,Arrythmia
1,21543739,21616766,ECE1,-,Arrythmia
1,26126666,26144713,SELENON,+,Arrythmia
1,33087306,33116185,ZBTB8OS,-,Arrythmia
1,45287937,45308616,PTCH2,-,Arrythmia
1,47881743,47883724,FOXE3,+,Arrythmia
1,53662100,53679869,CPT2,+,Arrythmia
1,64088886,64125916,PGM1,+,Arrythmia
1,78354199,78409578,NEXN,+,Arrythmia
1,112318453,112531777,KCND3,-,Arrythmia
1,113454469,113498975,SLC16A1,-,Arrythmia
1,116242625,116311426,CASQ2,-,Arrythmia
1,120454175,120612317,NOTCH2,-,Arrythmia
1,145413190,145417545,HFE2,+,Arrythmia
1,147228331,147232714,GJA5,-,Arrythmia
1,154134288,154164611,TPM3,-,Arrythmia
1,154554533,154580724,ADAR,-,Arrythmia
1,154955769,154965587,FLAD1,+,Arrythmia
1,156084460,156109880,LMNA,+,Arrythmia
1,156213111,156217908,PAQR6,-,Arrythmia
1,156830670,156851642,NTRK1,+,Arrythmia
1,161136180,161141010,PPOX,+,Arrythmia
1,161274524,161279762,MPZ,-,Arrythmia
1,161284165,161334535,SDHC,+,Arrythmia
1,169433148,169455208,SLC19A2,-,Arrythmia
1,169481191,169555769,F5,-,Arrythmia
1,171060017,171086959,FMO3,+,Arrythmia
1,182350838,182360539,GLUL,-,Arrythmia
1,201008639,201081694,CACNA1S,-,Arrythmia
1,201328135,201346828,TNNT2,-,Arrythmia
1,227058272,227083804,PSEN2,+,Arrythmia
1,229566992,229569843,ACTA1,-,Arrythmia
1,230838271,230850336,AGT,-,Arrythmia
1,236849769,236927558,ACTN2,+,Arrythmia
1,237205701,237997288,RYR2,+,Arrythmia
10,12110915,12165227,DHTKD1,+,Arrythmia
10,18429605,18830688,CACNB2,+,Arrythmia
10,43572516,43625797,RET,+,Arrythmia
10,50662525,50747169,ERCC6,-,Arrythmia
10,61786055,62149634,ANK3,-,Arrythmia
10,67679724,69455949,CTNNA3,-,Arrythmia
10,69865873,69971773,MYPN,+,Arrythmia
10,75757871,75879914,VCL,+,Arrythmia
10,88428425,88495824,LDB3,+,Arrythmia
10,96522462,96612671,CYP2C19,+,Arrythmia
10,96698414,96749148,CYP2C9,+,Arrythmia
10,102747292,102754158,TWNK,+,Arrythmia
10,112404154,112599227,RBM20,+,Arrythmia
10,115803805,115806667,ADRB1,+,Arrythmia
10,121410881,121437329,BAG3,+,Arrythmia
11,532241,535550,HRAS,-,Arrythmia
11,637304,640705,DRD4,+,Arrythmia
11,1773981,1785222,CTSD,-,Arrythmia
11,2466220,2870340,KCNQ1,+,Arrythmia
11,17414431,17498449,ABCC8,-,Arrythmia
11,17757494,17804602,KCNC1,+,Arrythmia
11,19203576,19232118,CSRP3,-,Arrythmia
11,20620945,20676610,SLC6A5,+,Arrythmia
11,20620945,20676610,SLC6A2,+,Arrythmia
11,27676441,27722600,BDNF,-,Arrythmia
11,47353395,47374253,MYBPC3,-,Arrythmia
11,47459307,47470730,RAPSN,-,Arrythmia
11,65633911,65640405,EFEMP2,-,Arrythmia
11,65769549,65771617,BANF1,+,Arrythmia
11,74165885,74178600,KCNE3,-,Arrythmia
11,111779349,111782473,CRYAB,-,Arrythmia
11,111957547,111966525,SDHD,+,Arrythmia
11,118004091,118023630,SCN4B,-,Arrythmia
11,118033518,118047337,SCN2B,-,Arrythmia
11,118209788,118213459,CD3D,-,Arrythmia
11,118955586,118964259,HMBS,+,Arrythmia
11,123499894,123525315,SCN3B,-,Arrythmia
11,128761312,128787951,KCNJ5,+,Arrythmia
12,2162415,2807115,CACNA1C,+,Arrythmia
12,5153084,5155954,KCNA5,+,Arrythmia
12,7342281,7364079,PEX5,+,Arrythmia
12,8798539,8815433,MFAP5,-,Arrythmia
12,12268960,12419811,LRP6,-,Arrythmia
12,21950323,22089628,ABCC9,-,Arrythmia
12,32943679,33049780,PKP2,-,Arrythmia
12,53701239,53715412,AAAS,-,Arrythmia
12,68548549,68553521,IFNG,-,Arrythmia
12,103351451,103354294,ASCL1,+,Arrythmia
12,108956293,108963160,ISCU,+,Arrythmia
12,110972236,111021064,PPTC7,-,Arrythmia
12,111348623,111358404,MYL2,-,Arrythmia
12,112856535,112947717,PTPN11,+,Arrythmia
12,114791734,114843968,TBX5,-,Arrythmia
12,115108058,115121969,TBX3,-,Arrythmia
13,52506805,52585630,ATP7B,-,Arrythmia
13,110801309,110959496,COL4A1,-,Arrythmia
14,23851198,23877486,MYH6,-,Arrythmia
14,23881946,23904870,MYH7,-,Arrythmia
14,64319682,64693167,SYNE2,+,Arrythmia
14,73603142,73690399,PSEN1,+,Arrythmia
14,76424441,76448092,TGFB3,-,Arrythmia
14,81421868,81612646,TSHR,+,Arrythmia
14,90863326,90874619,CALM1,+,Arrythmia
14,105266932,105271048,ZBTB42,+,Arrythmia
15,23930553,23932450,NDN,-,Arrythmia
15,25101697,25223729,SNRPN,+,Arrythmia
15,28000022,28344458,OCA2,-,Arrythmia
15,35080296,35087927,ACTC1,-,Arrythmia
15,52413122,52483565,GNB5,-,Arrythmia
15,63334837,63364113,TPM1,+,Arrythmia
15,67358194,67487533,SMAD3,+,Arrythmia
15,73612199,73661605,HCN4,-,Arrythmia
15,76508628,76603810,ETFA,-,Arrythmia
16,2097989,2138713,TSC2,+,Arrythmia
16,3775055,3930121,CREBBP,-,Arrythmia
16,16243421,16317328,ABCC6,-,Arrythmia
16,31102174,31106276,VKORC1,-,Arrythmia
16,56225250,56382111,GNAO1,+,Arrythmia
16,56899118,56949762,SLC12A3,+,Arrythmia
16,57481336,57495187,COQ9,+,Arrythmia
16,81812898,81991899,PLCG2,+,Arrythmia
16,86600856,86602537,FOXC2,+,Arrythmia
17,7123149,7128586,ACADVL,+,Arrythmia
17,7835441,7853237,CNTROB,+,Arrythmia
17,29718641,29865232,RAB11FIP4,+,Arrythmia
17,33901813,33905656,PEX12,-,Arrythmia
17,37821598,37822807,TCAP,+,Arrythmia
17,39910858,39942964,JUP,-,Arrythmia
17,40554466,40575338,CAVIN1,-,Arrythmia
17,43971747,44105699,MAPT,+,Arrythmia
17,45286427,45301045,MYL4,+,Arrythmia
17,56347216,56358296,MPO,-,Arrythmia
17,62015913,62050278,SCN4A,-,Arrythmia
17,68165675,68176183,KCNJ2,+,Arrythmia
17,73043278,73061981,KCTD2,+,Arrythmia
17,73512608,73520820,TSEN54,+,Arrythmia
17,78075354,78093679,GAA,+,Arrythmia
18,28570051,28622781,DSC2,-,Arrythmia
18,28570051,28622781,DSC3,-,Arrythmia
18,29078026,29128814,DSG2,+,Arrythmia
18,29171729,29178986,TTR,+,Arrythmia
18,29598444,29653154,RNF125,+,Arrythmia
18,32335939,32471808,DTNA,+,Arrythmia
19,1104648,1106787,GPX4,+,Arrythmia
19,11274942,11305266,KANK2,-,Arrythmia
19,12917427,12924462,RNASEH2A,+,Arrythmia
19,13049413,13055304,CALR,+,Arrythmia
19,35521591,35525174,SCN1B,+,Arrythmia
19,38924339,39078204,RYR1,+,Arrythmia
19,41103140,41135725,LTBP4,+,Arrythmia
19,41349442,41356352,CYP2A6,-,Arrythmia
19,46268042,46272497,SIX5,-,Arrythmia
19,46272975,46285815,DMPK,-,Arrythmia
19,49661015,49715098,TRPM4,+,Arrythmia
19,51848408,51858096,ETFB,-,Arrythmia
19,55663135,55668957,TNNI3,-,Arrythmia
2,26915580,26954066,KCNK3,+,Arrythmia
2,46524540,46613842,EPAS1,+,Arrythmia
2,47387220,47403740,CALM2,-,Arrythmia
2,71693831,71913893,DYSF,+,Arrythmia
2,74756531,74760683,HTRA2,+,Arrythmia
2,99771417,99779613,LIPT1,+,Arrythmia
2,113973573,114036498,PAX8,-,Arrythmia
2,128175995,128186822,PROC,+,Arrythmia
2,143635194,143799885,KYNU,+,Arrythmia
2,167051696,167232497,SCN9A,-,Arrythmia
2,172290760,172341562,DCAF17,+,Arrythmia
2,179390716,179672150,TTN,-,Arrythmia
2,207804277,207834198,CPOX,+,Arrythmia
2,207804277,207834198,CPO,+,Arrythmia
2,220283098,220291461,DES,+,Arrythmia
2,241808161,241818536,AGXT,+,Arrythmia
2,242674029,242708231,D2HGDH,+,Arrythmia
20,17949761,17971762,MGME1,+,Arrythmia
20,30407177,30422500,MYLK2,+,Arrythmia
20,31995762,32031698,SNTA1,-,Arrythmia
20,42740336,42816218,JPH2,-,Arrythmia
20,57875498,57901047,EDN3,+,Arrythmia
21,35736322,35743440,KCNE2,+,Arrythmia
21,35818985,35828107,KCNE1,-,Arrythmia
22,18632757,18660162,USP18,+,Arrythmia
22,20008630,20053447,TANGO2,+,Arrythmia
22,41865128,41924993,ACO2,+,Arrythmia
3,8775485,8788451,CAV3,+,Arrythmia
3,10183318,10195354,VHL,+,Arrythmia
3,14166439,14185180,TMEM43,+,Arrythmia
3,20202084,20227698,SGO1,-,Arrythmia
3,24158644,24536313,THRB,-,Arrythmia
3,32148002,32210207,GPD1L,+,Arrythmia
3,38589552,38674850,SCN5A,-,Arrythmia
3,45796940,45838035,SLC6A20,-,Arrythmia
3,46899356,46904973,MYL3,-,Arrythmia
3,48894355,48936426,SLC25A20,-,Arrythmia
3,50273646,50296786,GNAI2,+,Arrythmia
3,52485106,52488057,TNNC1,-,Arrythmia
3,53529075,53846492,CACNA1D,+,Arrythmia
3,55499742,55515426,WNT5A,-,Arrythmia
3,66119284,66429351,SLC25A26,+,Arrythmia
3,81538849,81810950,GBE1,-,Arrythmia
3,128886657,128902810,CNBP,-,Arrythmia
3,148709194,148745456,GYG1,+,Arrythmia
3,160117429,160152741,SMC4,+,Arrythmia
3,180701497,180707562,DNAJC19,-,Arrythmia
4,980784,998317,IDUA,+,Arrythmia
4,1795038,1810599,FGFR3,+,Arrythmia
4,3465032,3496209,DOK7,+,Arrythmia
4,41746098,41750987,PHOX2B,-,Arrythmia
4,65144176,65275178,TECRL,-,Arrythmia
4,106290233,106395227,PPA2,-,Arrythmia
4,111538579,111563279,PITX2,-,Arrythmia
4,113970784,114304896,ANK2,+,Arrythmia
4,120056938,120108944,MYOZ2,+,Arrythmia
4,155504279,155511897,FGA,-,Arrythmia
4,159593276,159629841,ETFDH,+,Arrythmia
4,166794409,167025609,TLL1,+,Arrythmia
4,175411327,175444049,HPGD,-,Arrythmia
5,218355,256814,SDHA,+,Arrythmia
5,1201709,1225230,SLC6A19,+,Arrythmia
5,14143828,14509458,TRIO,+,Arrythmia
5,37291940,37371197,NUP155,-,Arrythmia
5,37812778,37835929,GDNF,-,Arrythmia
5,60169658,60240905,ERCC8,-,Arrythmia
5,63255874,63258119,HTR1A,-,Arrythmia
5,86564069,86687743,RASA1,+,Arrythmia
5,131705400,131731306,SLC22A5,+,Arrythmia
5,149109814,149234585,PPARGC1B,+,Arrythmia
5,150694538,150727151,SLC36A2,-,Arrythmia
5,172659106,172662315,NKX2-5,-,Arrythmia
6,7541869,7586946,DSP,+,Arrythmia
6,32808493,32811816,PSMB8,-,Arrythmia
6,33738989,33756906,LEMD2,-,Arrythmia
6,56322784,56819426,DST,-,Arrythmia
6,74171453,74211179,MTO1,+,Arrythmia
6,105544698,105584543,BVES,-,Arrythmia
6,116596021,116601280,TSPYL1,-,Arrythmia
6,118869441,118881587,PLN,+,Arrythmia
6,121756744,121770873,GJA1,+,Arrythmia
6,123537483,123958238,TRDN,-,Arrythmia
6,139693391,139695350,CITED2,-,Arrythmia
6,149639435,149732747,TAB2,+,Arrythmia
6,160952514,161087407,LPA,-,Arrythmia
7,2577443,2595392,BRAT1,-,Arrythmia
7,65425672,65447301,GUSB,-,Arrythmia
7,73442426,73484236,ELN,+,Arrythmia
7,75956107,75988342,YWHAG,-,Arrythmia
7,83587658,83824217,SEMA3A,-,Arrythmia
7,91570188,91739987,AKAP9,+,Arrythmia
7,92076761,92089381,GATAD1,+,Arrythmia
7,94023872,94060544,COL1A2,+,Arrythmia
7,128470482,128499328,FLNC,+,Arrythmia
7,128828712,128853385,SMO,+,Arrythmia
7,140433812,140624564,BRAF,-,Arrythmia
7,144094332,144107320,NOBOX,-,Arrythmia
7,150642043,150675402,KCNH2,-,Arrythmia
7,151253200,151574316,PRKAG2,-,Arrythmia
7,153749776,154685995,DPP6,+,Arrythmia
8,11561716,11617509,GATA4,+,Arrythmia
8,27348518,27402439,EPHX2,+,Arrythmia
8,66933790,67012755,DNAJC5B,+,Arrythmia
8,72109667,72268979,EYA1,-,Arrythmia
8,72933485,72987819,TRPA1,-,Arrythmia
8,74888376,74895018,TMEM70,+,Arrythmia
8,119935795,119964383,TNFRSF11B,-,Arrythmia
8,144989320,145025044,PLEC,-,Arrythmia
9,27284653,27297137,EQTN,-,Arrythmia
9,97365420,97401923,FBP1,-,Arrythmia
9,98205263,98270831,PTCH1,-,Arrythmia
9,108320410,108403399,FKTN,+,Arrythmia
9,111629799,111696608,ELP1,-,Arrythmia
9,113431050,113563278,MUSK,+,Arrythmia
9,131084790,131096351,COQ4,+,Arrythmia
9,131707808,131710012,DOLK,-,Arrythmia
9,135766734,135820020,TSC1,-,Arrythmia
9,136501484,136524466,DBH,+,Arrythmia
9,139567594,139581911,AGPAT2,-,Arrythmia
9,140772240,141019076,CACNA1B,+,Arrythmia
1,8384389,8404227,SLC45A1,+,Autism
1,17345224,17380665,SDHB,-,Autism
1,45316193,45452394,EIF2B3,-,Autism
1,150039341,150117505,VPS45,+,Autism
1,154554533,154580724,ADAR,-,Autism
1,155204238,155214653,GBA,-,Autism
1,160085519,160113374,ATP1A2,+,Autism
1,224572844,224622001,WDR26,-,Autism
10,225933,295729,ZMYND11,+,Autism
10,72575703,72640932,SGPL1,+,Autism
10,89623194,89728532,PTEN,+,Autism
11,6633996,6640692,TPP1,-,Autism
11,27676441,27722600,BDNF,-,Autism
11,35272751,35441105,SLC1A2,-,Autism
11,62457733,62475179,BSCL2,-,Autism
11,71145456,71159477,DHCR7,-,Autism
11,71900601,71907367,FOLR1,+,Autism
11,72003469,72145724,CLPB,-,Autism
11,111957547,111966525,SDHD,+,Autism
12,32832136,32898584,DNM1L,+,Autism
12,51985019,52206648,SCN8A,+,Autism
12,123717843,123742506,C12orf65,+,Autism
12,124105569,124118323,EIF2B1,-,Autism
13,77566058,77576652,CLN5,+,Autism
13,84451342,84456528,SLITRK1,-,Autism
14,29236277,29239483,FOXG1,+,Autism
14,75469611,75476294,EIF2B2,+,Autism
14,88399357,88459615,GALC,-,Autism
15,57210832,57580714,TCF12,+,Autism
15,75661719,75743926,SIN3A,-,Autism
15,93443550,93571237,CHD2,+,Autism
16,1821895,1823140,MRPS34,-,Autism
16,9847264,10276263,GRIN2A,-,Autism
16,23533333,23568696,EARS2,-,Autism
16,28853731,28857729,TUFM,-,Autism
16,31000576,31021829,STX1B,-,Autism
16,70721341,70835061,VAC14,-,Autism
16,81115551,81129980,GCSH,-,Autism
16,84043388,84075762,SLC38A8,-,Autism
17,42282400,42297041,UBTF,-,Autism
17,73937588,73975515,ACOX1,-,Autism
17,80709939,80901062,TBCD,+,Autism
18,6941742,7117813,LAMA1,-,Autism
18,21111462,21166581,NPC1,-,Autism
19,7587495,7598895,MCOLN1,+,Autism
19,13229101,13251961,NACC1,+,Autism
19,36486089,36487220,SDHAF1,+,Autism
